지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),평균운량(1/10),합계 일조시간(hr),합계 일사량(MJ/m2),최심적설(cm)
90,속초,2014-01,1.9,12.6,-8.8,50,29.3,14.1,,,2.3,9.8,18,3.7,200.9,,13.3
90,속초,2014-02,1,16.7,-7.9,78,168.2,44.6,,,1.9,8.3,13.6,6.6,110.5,,83.5
90,속초,2014-03,7.9,26.9,-4.2,57,40.4,15.1,,,2.6,8.9,15.7,4.5,213.9,,10.5
90,속초,2014-04,13.3,27,.7,65,98.8,41,10.5,3,2.5,11.3,20.4,5.3,218.6,,
90,속초,2014-05,18.1,32.5,8.1,62,25,11,7,1.5,2.8,11.9,22.5,4.4,275.9,,
90,속초,2014-06,19.9,32.8,13.7,90,41.9,8,4,2,1.6,5.2,8.4,7.6,149.9,,
90,속초,2014-07,25.1,34.6,16.9,80,126.9,46,19,9,1.9,7.3,14.4,6.5,251.3,,
90,속초,2014-08,23.5,33.3,15.6,88,296.1,73.5,19,8,1.8,8.1,13.4,7.3,160.2,,
90,속초,2014-09,20.6,31,12.7,84,181,138,19.5,8.5,1.8,9.1,14.5,5.6,194.8,,
90,속초,2014-10,15.8,24.6,6.6,67,39.6,21,4.5,1.5,2.2,11.6,16.8,4,212.6,,
90,속초,2014-11,10.2,19.5,-1.9,61,51.6,25,,,2.2,8.9,17.3,4.7,173.4,,
90,속초,2014-12,.6,11.7,-10.8,38,.2,.2,,,3,11.3,20.1,2.4,224,,
90,속초,2015-01,1.8,12.2,-7.9,52,8.7,4,,,2.2,11.5,17.6,4,185.6,,3
90,속초,2015-02,2.4,14.5,-10.4,59,32.1,16,,,2.5,9.6,19.4,4.1,189.3,,8.7
90,속초,2015-03,6.6,21.4,-5,52,8,5.5,,,2.5,10.6,17.7,2.6,275.9,,
90,속초,2015-04,11.1,29.8,1.2,69,74.2,21,8.5,2.5,2.5,10.2,18.9,5.5,185.4,,
90,속초,2015-05,17.8,32.6,7.8,61,9.2,3,2,1,2.4,10.3,19.2,4.1,298.6,,
90,속초,2015-06,19.5,30.1,12.7,83,127.7,114.5,15.5,4,2.1,10.1,14.8,6.8,191,,
90,속초,2015-07,22.7,35.4,14.8,85,163.1,48,16,8.5,1.9,9.3,15.9,,171.2,,
90,속초,2015-08,24.2,33,16.1,84,198.6,59,56.5,21.5,1.8,10.7,18.1,,193.5,,
90,속초,2015-09,19.1,27.1,12.5,80,13.5,4,2,.9,1.8,7.8,11.4,,219,,
90,속초,2015-10,14.7,26.2,1,58,27.4,14.8,9.6,3.1,2,8.8,16,,240.6,,
90,속초,2015-11,8.4,21.7,-3.2,74,463.5,67.5,,,2,8.1,15.1,,98.6,,
90,속초,2015-12,3,10.9,-7.2,53,1.7,1.3,,,1.8,8.2,17.9,,164.9,,
90,속초,2016-01,-1.2,11.5,-16.4,43,6.6,3.7,,,2.4,8.7,20,,191.1,,
90,속초,2016-02,.8,10.3,-9.4,55,38.3,13.4,,,2.1,8.8,17.5,,197.6,,
90,속초,2016-03,7,21.5,-7.6,58,31.8,18.2,,,1.9,8.8,15.4,,209.6,,
90,속초,2016-04,12.6,29.3,3.6,66,77.5,32.3,13.2,2.8,2.3,10.4,23.1,,222.9,,
90,속초,2016-05,17.2,29,7.3,67,35.7,20.5,2.9,.7,2.2,10.7,26.2,,261.1,,
90,속초,2016-06,20.6,30.5,12.6,82,62.2,30.9,13.6,8.4,1.8,8.8,14.5,,175.3,,
90,속초,2016-07,22.9,31.9,17,90,477.8,206.4,20.3,8.1,1.3,7.7,11.3,,119.2,,
90,속초,2016-08,25.5,35.9,15.3,82,186.9,65.4,18.3,10.1,1.6,9.9,17.1,,220.7,,
90,속초,2016-09,20.4,28.6,13.2,87,126,41.8,40,11.7,1.5,7.7,13.6,,130,,
90,속초,2016-10,15.3,24.2,3.3,75,128.5,52.3,16.6,7.6,1.7,8.1,12.4,,140.8,,
90,속초,2016-11,8.4,20.8,-2.5,60,40.8,17.3,,,1.8,8.3,15.8,,172.2,,
90,속초,2016-12,4.4,14.1,-6.1,56,121.7,36.2,,,1.9,9.9,19.5,,164.8,,
90,속초,2017-01,.8,11.3,-11.2,50,82.4,29.3,,,1.9,8.6,14.9,,215.4,,
90,속초,2017-02,3,14.7,-8.2,44,3.2,3.2,,,2,11.4,17.9,,222.2,,
90,속초,2017-03,7,18.5,-2.8,57,48.7,11.8,,,1.9,8.1,12.2,,199.8,,
90,속초,2017-04,14.8,30.8,2.6,56,46.8,17.1,6.5,2.1,2.3,8.1,14.8,,255.2,,
90,속초,2017-05,18.7,34.3,9.3,62,25.2,9.8,6.9,2.7,2,9.5,17.6,,272.3,,
90,속초,2017-06,19.8,29.7,9.9,79,69.7,15,6.8,5.2,1.7,7.1,16,,204.7,,
90,속초,2017-07,25.6,34.9,18.9,81,270.3,67.6,32.4,10,1.2,5.6,11.7,,165.4,,
90,속초,2017-08,23.7,32.4,16.4,84,424.9,89.4,45.3,14.8,1.1,7.7,11.6,,107.2,,
90,속초,2017-09,20.8,28.4,13.1,71,50.5,28.8,24.1,20.4,1.6,7.6,15.7,,249.2,,
90,속초,2017-10,14.5,25,4,74,135.4,38.8,20.3,6,1.7,9.8,15.2,,157.7,,
90,속초,2017-11,7.8,20.4,-4,43,41.2,20.9,,,2.2,8.2,15.3,,218.5,,
90,속초,2017-12,.7,11.4,-9.9,38,9.9,9.4,,,2.2,9.1,17,,230.3,,
90,속초,2018-01,-1.4,11.9,-16.2,37,3.9,2.4,,,2,8.5,18,,214.7,,
90,속초,2018-02,-.5,10.5,-13.2,43,54.4,49,,,2.1,8.6,16.7,,218.5,,
90,속초,2018-03,8,24.7,-6.2,59,55,22,,,2.2,13.4,17.3,,171.2,,
90,속초,2018-04,13,32.5,2,57,141.7,56.8,6.3,1.3,2.3,8.2,15.5,,227.6,,
90,속초,2018-05,15.9,29.4,4.5,75,123.6,47.3,14.1,5.5,2,10.3,19.4,,186.4,,
90,속초,2018-06,21.3,33.9,13.2,72,46.5,18.6,12.4,6.3,1.7,12.5,18.1,,208.8,,
90,속초,2018-07,25,35.4,14.8,82,185.4,53.2,12.3,3.5,1.6,5.7,10.4,,209.3,,
90,속초,2018-08,25.6,38.7,17.2,82,625,226.2,70.1,18.1,1.6,9.1,12,6,185.3,,
90,속초,2018-09,20,29,12.6,73,66.1,24.4,8.5,4.2,1.5,5.9,13.9,5.5,196.1,,
90,속초,2018-10,13.5,23.8,.3,61,257.6,130,28.9,7.6,1.8,8.4,16.8,3.6,229.5,,
90,속초,2018-11,9.2,19.2,-1.9,57,207.4,152.8,,,1.6,6.3,13.6,4.1,165.7,,
90,속초,2018-12,1.6,12.7,-11.4,42,10.4,7.1,,,1.8,7.1,15.1,3.4,208,,
90,속초,2019-01,1.7,12.8,-9,35,8.7,8.7,,,1.9,9.9,15.1,2.9,232.1,,
90,속초,2019-02,2.5,15.7,-7.3,49,27.6,13.6,,,1.8,7,14.1,4,215.2,,
90,속초,2019-03,8.2,21.6,-1.4,51,44.4,12.3,,,2.1,10.5,16,4.3,233.1,,
90,속초,2019-04,11.9,25.9,1.3,55,80.9,31.2,4.6,1.7,2.1,11,20.4,5.1,230.5,,
90,속초,2019-05,19.8,34.2,6.5,52,5.7,4,2.6,.9,2.2,9.5,13.6,4,296.2,,
90,속초,2019-06,20,30.2,11.5,78,97.8,44,18.6,11.2,1.8,6.3,9.6,5.5,224.8,,
90,속초,2019-07,24.7,36.1,17.7,80,234.4,92.5,26.9,7.9,1.7,6.7,11.9,6.4,196,,
90,속초,2019-08,25.7,35.6,19.3,78,293.5,203.7,37,13,1.7,7.2,12.9,5.4,230.7,,
90,속초,2019-09,20.9,32.3,11.6,79,209.9,58.8,12.8,3.3,1.5,9.9,18.1,6.7,145.2,,
90,속초,2019-10,16.1,25,6.5,68,185.5,78.8,19.5,4.9,1.9,10.2,15.6,5.4,157.7,,
90,속초,2019-11,9.4,21.1,-1.2,57,157.3,71.1,,,1.8,7.5,15.5,4.4,186.9,,
